IDuser;fio;phone;login;password;typeID
1;Носов Иван Михайлович;89210563128;login1;pass1;1
2;Ильин Александр Андреевич;89535078985;login2;pass2;2
3;Никифоров Иван Дмитриевич;89210673849;login3;pass3;2
4;Елисеев Артём Леонидович;89990563748;login4;pass4;3
5;Титов Сергей Кириллович;89994563847;login5;pass5;3
6;Григорьев Семён Викторович;89219567849;login11;pass11;4
7;Сорокин Дмитрий Ильич;89219567841;login12;pass12;4
8;Белоусов Егор Ярославович;89219567842;login13;pass13;4
9;Суслов Михаил Александрович;89219567843;login14;pass14;4
10;Васильев Вячеслав Александрович;89219567844;login15;pass15;2
