ФИО,id_client,birthday,e-mail,password,series,nomer,index,city,street,house,flat
Фролов Андрей Иванович,45462526,14.07.2001,gohufreilagrau-3818@yopmail.com,cl12345,1180,176596,344288, г. Санкт-Петербург, ул. Чехова,1, кв. 34
Николаев Даниил Всеволодович,45462527,10.02.2001,xawugosune-1385@yopmail.com,cl12346,2280,223523,614164, г. Санкт-Петербург, ул. Степная,30, кв. 75
Снегирев Макар Иванович,45462528,21.05.1998,satrahuddusei-4458@yopmail.com,cl12347,4560,354155,394242, г. Санкт-Петербург, ул. Коммунистическая,43, кв. 57
Иванов Иван Ильич,45462529,01.10.1998,boippaxeufrepra-7093@yopmail.com,cl12348,9120,554296,660540, г. Санкт-Петербург, ул. Солнечная,25, кв. 78
Филиппова Анна Глебовна,45462530,31.05.1976,zapramaxesu-7741@yopmail.com,cl12349,2367,558134,125837, г. Санкт-Петербург, ул. Шоссейная,40, кв. 92
Иванов Михаил Владимирович,45462531,04.11.1985,rouzecroummegre-3899@yopmail.com,cl12350,7101,669343,125703, г. Санкт-Петербург, ул. Партизанская,49, кв. 84
Власов Дмитрий Александрович,45462532,17.08.1998,ziyeuddocrabri-4748@yopmail.com,cl12351,3455,719630,625283, г. Санкт-Петербург, ул. Победы,46, кв. 7
Серова Екатерина Львовна,45462533,24.10.1984,ketameissoinnei-1951@yopmail.com,cl12352,2377,871623,614611, г. Санкт-Петербург, ул. Молодежная,50, кв. 78
Борисова Ирина Ивановна,45462534,14.10.1976,yipraubaponou-5849@yopmail.com,cl12353,8755,921148,454311, г. Санкт-Петербург, ул. Новая,19, кв. 78
Зайцев Никита Артёмович,45462535,14.10.1999,crapedocouca-3572@yopmail.com,cl12354,4355,104594,660007, г. Санкт-Петербург, ул. Октябрьская,19, кв. 42
Медведев Святослав Евгеньевич,45462536,13.07.1985,ceigoixakaunni-9227@yopmail.com,cl12355,2791,114390,603036, г. Санкт-Петербург, ул. Садовая,4, кв. 13
Коротков Кирилл Алексеевич,45462537,26.05.1976,yeimmeiwauzomo-7054@yopmail.com,cl12356,5582,126286,450983, г. Санкт-Петербург, ул. Комсомольская,26, кв. 60
Калашникова Арина Максимовна,45462538,13.08.1999,poleifenevi-1560@yopmail.com,cl12357,2978,133653,394782, г. Санкт-Петербург, ул. Чехова,3, кв. 14
Минина Таисия Кирилловна,45462539,13.10.1985,kauprezofautei-6607@yopmail.com,cl12358,7512,141956,603002, г. Санкт-Петербург, ул. Дзержинского,28, кв. 56
Наумов Серафим Романович,45462540,15.04.1999,quaffaullelourei-1667@yopmail.com,cl12359,5046,158433,450558, г. Санкт-Петербург, ул. Набережная,30, кв. 71
Воробьева Василиса Евгеньевна,45462541,13.01.1999,jsteele@rojas-robinson.net,cl12360,2460,169505,394060, г. Санкт-Петербург, ул. Фрунзе,43, кв. 79
Калинин Александр Андреевич,45462542,07.01.1999,vhopkins@lewis-mullen.com,cl12361,3412,174593,410661, г. Санкт-Петербург, ул. Школьная,50, кв. 53
Кузнецова Милана Владиславовна,45462543,24.01.1999,nlewis@yahoo.com,cl12362,4950,183034,625590, г. Санкт-Петербург, ул. Коммунистическая,20, кв. 34
Фирсов Егор Романович,45462544,02.09.1993,garciadavid@mckinney-mcbride.com,cl12363,5829,219464,625683, г. Санкт-Петербург, ул. 8 Марта,20, кв. 21
Зимина Агния Александровна,45462545,03.09.1998,cbradley@castro.com,cl12364,6443,208059,400562, г. Санкт-Петербург, ул. Зеленая,32, кв. 67
Титов Андрей Глебович,45462546,23.10.1985,cuevascatherine@carlson.biz,cl12365,7079,213265,614510, г. Санкт-Петербург, ул. Маяковского,47, кв. 72
Орлов Николай Егорович,45462547,27.07.1985,thomasmoore@wilson-singh.net,cl12366,8207,522702,410542, г. Санкт-Петербург, ул. Светлая,46, кв. 82
Кузнецова Аиша Михайловна,45462548,04.10.1998,jessica84@hotmail.com,cl12367,9307,232158,620839, г. Санкт-Петербург, ул. Цветочная,8, кв. 100
Куликов Никита Георгиевич,45462549,23.04.1999,jessicapark@hotmail.com,cl12368,1357,242839,443890, г. Санкт-Петербург, ул. Коммунистическая,1, кв. 10
Карпова София Егоровна,45462550,01.10.1993,ginaritter@schneider-buchanan.com,cl12369,1167,256636,603379, г. Санкт-Петербург, ул. Спортивная,46, кв. 95
Смирнова Дарья Макаровна,45462551,22.03.1976,stephen99@yahoo.com,cl12370,1768,266986,603721, г. Санкт-Петербург, ул. Гоголя,41, кв. 57
Абрамова Александра Мироновна,45462552,26.03.1999,lopezlisa@hotmail.com,cl12371,1710,427875,410172, г. Санкт-Петербург, ул. Северная,13, кв. 86
