Код сотрудника,Должность,ФИО ,Логин ,Пароль
ID 101,1,Иванов Иван Иванович,Ivanov@namecomp.ru,2L6KZG
ID 102,1,Петров Петр Петрович,petrov@namecomp.ru,uzWC67
ID 103,2,Федоров Федор Федорович,fedorov@namecomp.ru,8ntwUp
ID 104,3,Миронов Вениамин Куприянович,mironov@namecomp.ru,YOyhfR
ID 105,3,Ширяев Ермолай Вениаминович,shiryev@namecomp.ru,RSbvHv
ID 106,3,Игнатов Кассиан Васильевич,ignatov@namecomp.ru,rwVDh9
ID 107,1,Хохлов Владимир Мэлсович,hohlov@namecomp.ru,LdNyos
ID 108,1,Стрелков Мстислав Георгьевич,strelkov@namecomp.ru,gynQMT
ID 109,1,Беляева Лилия Наумовна,belyeva@@namecomp.ru,AtnDjr
ID 110,1,Смирнова Ульяна Гордеевна,smirnova@@namecomp.ru,JlFRCZ
