userID,fio,phone,login,password,type,,1. Убираем дублирование,,type,,
1,Носов Иван Михайлович,89210563128,login1,pass1,Менеджер,,2. Задаем ключ,,Менеджер,1,1
2,Ильин Александр Андреевич,89535078985,login2,pass2,Мастер,,3. Заменям данные на ключ,,Мастер,2,2
3,Никифоров Иван Дмитриевич,89210673849,login3,pass3,Мастер,,4. В результате 2 таблицы,,Оператор,3,2
4,Елисеев Артём Леонидович,89990563748,login4,pass4,Оператор,,,,Заказчик,4,3
5,Титов Сергей Кириллович,89994563847,login5,pass5,Оператор,,,,,,3
6,Григорьев Семён Викторович,89219567849,login11,pass11,Заказчик,,,,,,4
7,Сорокин Дмитрий Ильич,89219567841,login12,pass12,Заказчик,,,,,,4
8,Белоусов Егор Ярославович,89219567842,login13,pass13,Заказчик,,,,,,4
9,Суслов Михаил Александрович,89219567843,login14,pass14,Заказчик,,,,,,4
10,Васильев Вячеслав Александрович,89219567844,login15,pass15,Мастер,,,,,,2
,,,,,,,,,,,
users,,,,,,,types,,,,
IDuser,fio,phone,login,password,typeID,,IDtype,type,,,
1,Носов Иван Михайлович,89210563128,login1,pass1,1,,1,Менеджер,,,
2,Ильин Александр Андреевич,89535078985,login2,pass2,2,,2,Мастер,,,
3,Никифоров Иван Дмитриевич,89210673849,login3,pass3,2,,3,Оператор,,,
4,Елисеев Артём Леонидович,89990563748,login4,pass4,3,,4,Заказчик,,,
5,Титов Сергей Кириллович,89994563847,login5,pass5,3,,,,,,
6,Григорьев Семён Викторович,89219567849,login11,pass11,4,,,,,,
7,Сорокин Дмитрий Ильич,89219567841,login12,pass12,4,,,,,,
8,Белоусов Егор Ярославович,89219567842,login13,pass13,4,,,,,,
9,Суслов Михаил Александрович,89219567843,login14,pass14,4,,,,,,
10,Васильев Вячеслав Александрович,89219567844,login15,pass15,2,,,,,,
